time,open,high,low,close,tick_volume,spread,real_volume,volume
2025.04.23 17:00,19061.21,19095.26,18798.01,18874.75,21586.0,0,0,
2025.04.23 18:00,18875.75,18932.96,18746.96,18915.49,20128.0,0,0,
2025.04.23 19:00,18915.45,18964.26,18834.44,18926.75,19045.0,0,0,
2025.04.23 20:00,18926.5,18958.08,18846.37,18869.38,18615.0,0,0,
2025.04.23 21:00,18867.84,18893.36,18729.34,18785.38,20328.0,0,0,
2025.04.23 22:00,18787.63,18921.62,18774.25,18848.89,11233.0,0,0,
2025.04.24 00:00,18825.95,18838.33,18740.02,18817.28,6802.0,0,0,
2025.04.24 01:00,18817.03,18856.53,18806.02,18839.06,5607.0,0,0,
2025.04.24 02:00,18838.78,18875.08,18825.82,18840.06,7052.0,0,0,
2025.04.24 03:00,18840.02,18849.06,18769.77,18769.77,6965.0,0,0,
2025.04.24 04:00,18769.82,18806.22,18746.08,18747.54,5858.0,0,0,
2025.04.24 05:00,18747.57,18761.5,18735.01,18756.56,4611.0,0,0,
2025.04.24 06:00,18756.45,18768.54,18711.08,18762.82,5161.0,0,0,
2025.04.24 07:00,18763.03,18780.81,18678.06,18710.31,6252.0,0,0,
2025.04.24 08:00,18710.31,18777.76,18705.45,18742.25,7383.0,0,0,
2025.04.24 09:00,18743.0,18753.75,18650.21,18675.2,11640.0,0,0,
2025.04.24 10:00,18675.2,18703.0,18594.22,18628.97,11127.0,0,0,
2025.04.24 11:00,18628.76,18693.74,18628.76,18693.5,7783.0,0,0,
2025.04.24 12:00,18693.74,18838.26,18693.45,18816.0,10620.0,0,0,
2025.04.24 13:00,18816.2,18819.97,18729.75,18770.01,10998.0,0,0,
2025.04.24 14:00,18769.5,18862.25,18768.95,18850.26,12196.0,0,0,
2025.04.24 15:00,18849.71,19059.5,18823.45,19050.49,17408.0,0,0,
2025.04.24 16:00,19051.0,19178.76,19044.18,19140.45,20928.0,0,0,
2025.04.24 17:00,19140.21,19213.17,19120.01,19161.72,18847.0,0,0,
2025.04.24 18:00,19162.2,19276.99,19139.99,19261.74,17761.0,0,0,
2025.04.24 19:00,19261.75,19271.42,19202.96,19264.22,16291.0,0,0,
2025.04.24 20:00,19264.75,19324.07,19258.37,19291.88,15681.0,0,0,
2025.04.24 21:00,19291.62,19335.37,19220.57,19318.07,17751.0,0,0,
2025.04.24 22:00,19318.07,19419.83,19312.07,19347.42,9898.0,0,0,
2025.04.25 00:00,19413.85,19423.11,19351.77,19404.52,6345.0,0,0,
2025.04.25 01:00,19404.57,19434.54,19396.02,19413.57,5531.0,0,0,
2025.04.25 02:00,19412.83,19461.51,19390.02,19455.86,6646.0,0,0,
2025.04.25 03:00,19455.95,19465.04,19401.07,19410.36,6818.0,0,0,
2025.04.25 04:00,19410.02,19422.0,19363.33,19383.32,6127.0,0,0,
2025.04.25 05:00,19383.03,19452.53,19366.57,19446.82,5257.0,0,0,
2025.04.25 06:00,19446.52,19497.12,19397.04,19407.56,7042.0,0,0,
2025.04.25 07:00,19407.82,19432.82,19394.81,19410.56,5626.0,0,0,
2025.04.25 08:00,19411.79,19473.74,19401.46,19460.46,7305.0,0,0,
2025.04.25 09:00,19460.74,19464.46,19372.99,19416.46,10512.0,0,0,
2025.04.25 10:00,19416.22,19449.01,19382.47,19402.71,8766.0,0,0,
2025.04.25 11:00,19402.45,19403.49,19345.45,19394.7,8263.0,0,0,
2025.04.25 12:00,19394.71,19408.91,19217.7,19228.97,12526.0,0,0,
2025.04.25 13:00,19232.51,19320.71,19228.2,19254.72,11065.0,0,0,
2025.04.25 14:00,19254.74,19294.69,19232.47,19245.45,10849.0,0,0,
2025.04.25 15:00,19245.0,19362.25,19215.95,19259.53,17564.0,0,0,
2025.04.25 16:00,19275.65,19404.97,19234.7,19337.74,21552.0,0,0,
2025.04.25 17:00,19338.01,19392.26,19309.97,19362.26,18435.0,0,0,
2025.04.25 18:00,19362.76,19468.01,19349.7,19466.24,16744.0,0,0,
2025.04.25 19:00,19465.96,19553.5,19373.94,19426.22,19148.0,0,0,
2025.04.25 20:00,19428.0,19527.09,19413.87,19499.32,17447.0,0,0,
2025.04.25 21:00,19499.57,19545.82,19447.09,19530.11,17312.0,0,0,
2025.04.28 00:00,19523.76,19523.76,19451.02,19459.57,4397.0,0,0,
2025.04.28 01:00,19458.78,19473.09,19435.07,19455.08,2275.0,0,0,
2025.04.28 02:00,19453.54,19469.33,19403.27,19413.28,4078.0,0,0,
2025.04.28 03:00,19412.79,19430.82,19391.78,19428.81,4278.0,0,0,
2025.04.28 04:00,19428.78,19449.81,19405.81,19416.82,4545.0,0,0,
2025.04.28 05:00,19417.01,19421.08,19395.02,19403.06,3947.0,0,0,
2025.04.28 06:00,19403.29,19426.81,19402.81,19411.53,2738.0,0,0,
2025.04.28 07:00,19411.71,19427.58,19403.77,19415.79,4022.0,0,0,
2025.04.28 08:00,19415.77,19504.72,19415.77,19501.95,6432.0,0,0,
2025.04.28 09:00,19502.22,19517.51,19467.2,19468.26,8266.0,0,0,
2025.04.28 10:00,19468.45,19501.25,19439.95,19499.72,7269.0,0,0,
2025.04.28 11:00,19499.75,19538.76,19482.46,19514.5,6667.0,0,0,
2025.04.28 12:00,19514.76,19521.74,19465.74,19474.5,6837.0,0,0,
2025.04.28 13:00,19475.2,19532.75,19465.74,19513.5,7393.0,0,0,
2025.04.28 14:00,19513.45,19548.97,19469.74,19539.2,8789.0,0,0,
2025.04.28 15:00,19539.0,19621.46,19453.95,19463.99,16328.0,0,0,
2025.04.28 16:00,19464.51,19538.2,19433.2,19470.96,20161.0,0,0,
2025.04.28 17:00,19471.25,19494.75,19312.0,19347.25,19467.0,0,0,
2025.04.28 18:00,19346.95,19355.46,19267.2,19317.2,17497.0,0,0,
2025.04.28 19:00,19317.0,19377.47,19257.41,19371.21,16771.0,0,0,
2025.04.28 20:00,19371.0,19438.11,19356.33,19427.82,15404.0,0,0,
2025.04.28 21:00,19427.09,19577.84,19422.84,19525.34,16982.0,0,0,
2025.04.28 22:00,19523.32,19525.88,19474.82,19482.18,6125.0,0,0,
2025.04.29 00:00,19476.79,19489.63,19455.81,19484.83,4538.0,0,0,
2025.04.29 01:00,19484.52,19530.56,19478.52,19528.04,4705.0,0,0,
2025.04.29 02:00,19527.81,19560.01,19495.78,19553.27,4875.0,0,0,
2025.04.29 03:00,19553.08,19599.24,19543.81,19592.99,5032.0,0,0,
2025.04.29 04:00,19593.02,19630.04,19558.25,19569.77,5938.0,0,0,
2025.04.29 05:00,19569.79,19590.56,19560.82,19572.54,4214.0,0,0,
2025.04.29 06:00,19572.81,19596.97,19541.27,19552.54,4193.0,0,0,
2025.04.29 07:00,19552.08,19570.12,19530.27,19531.83,5121.0,0,0,
2025.04.29 08:00,19532.02,19564.51,19525.06,19542.22,5313.0,0,0,
